# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,
# V min: 5.19534, V max: 5.23541,,,,,,
# I min: 0.31158, I max: 0.51002,,,,,,
Time,Voltage,Current,Capacity,Energy,,,
31.4,5.22336,0.32766,0.00307721,0.00402161,,,315
31.5,5.22336,0.32761,0.00308631,0.00403349,,,316
31.6,5.22332,0.31457,0.00309523,0.0040449,,,317
31.7,5.22336,0.31183,0.00310393,0.00405621,,,318
31.8,5.22336,0.32769,0.00311281,0.0040681,,,319
31.9,5.2234,0.41652,0.00312315,0.00408321,,,320
32,5.22344,0.32712,0.00313348,0.00409507,,,321
32.1,5.22344,0.36928,0.00314315,0.00410847,,,322
32.2,5.22301,0.31979,0.00315272,0.00412004,,,323
32.3,5.22301,0.31382,0.00316152,0.00413142,,,324
32.4,5.22297,0.31457,0.00317025,0.0041428,,,325
32.5,5.21036,0.47073,0.00318116,0.00415987,,,326
32.6,5.21162,0.42299,0.00319357,0.00417521,,,327
32.7,5.22094,0.41031,0.00320514,0.00419008,,,328
32.8,5.22,0.39887,0.00321638,0.00420454,,,329
32.9,5.21914,0.39265,0.00322738,0.00421877,,,330
33,5.2182,0.39539,0.00323832,0.0042331,,,331
33.1,5.21737,0.41453,0.00324957,0.00424811,,,332
33.2,5.21675,0.4031,0.00326092,0.00426271,,,333
33.3,5.21593,0.39219,0.00327197,0.00427692,,,334
33.4,5.21507,0.39996,0.00328297,0.0042914,,,335
33.5,5.21428,0.40784,0.00329419,0.00430617,,,336
33.6,5.21397,0.41028,0.00330555,0.00432102,,,337
33.7,5.21444,0.40689,0.0033169,0.00433576,,,338
33.8,5.21448,0.39489,0.00332804,0.00435006,,,339
33.9,5.21452,0.4069,0.00333918,0.00436479,,,340
34,5.21452,0.41851,0.00335064,0.00437995,,,341
34.1,5.2144,0.40736,0.00336211,0.0043947,,,342
34.2,5.21436,0.40787,0.00337343,0.00440947,,,343
34.3,5.21444,0.39365,0.00338457,0.00442372,,,344
34.4,5.2144,0.41976,0.00339586,0.00443892,,,345
34.5,5.21428,0.4083,0.00340736,0.00445371,,,346
34.6,5.2142,0.39489,0.00341852,0.004468,,,347
34.7,5.21413,0.40826,0.00342967,0.00448279,,,348
34.8,5.21405,0.4087,0.00344102,0.00449759,,,349
34.9,5.21385,0.45034,0.00345295,0.00451389,,,350
35,5.21362,0.41138,0.00346492,0.00452878,,,351
35.1,5.21362,0.39688,0.00347615,0.00454315,,,352
35.2,5.21366,0.41098,0.00348737,0.00455803,,,353
35.3,5.21358,0.41105,0.00349878,0.00457292,,,354
35.4,5.21358,0.41101,0.0035102,0.0045878,,,355
35.5,5.21362,0.39539,0.0035214,0.00460211,,,356
35.6,5.21358,0.3924,0.00353234,0.00461632,,,357
35.7,5.21362,0.41069,0.0035435,0.00463119,,,358
35.8,5.21366,0.41017,0.0035549,0.00464604,,,359
35.9,5.21377,0.3934,0.00356606,0.00466028,,,360
36,5.21409,0.39389,0.00357699,0.00467455,,,361
36.1,5.21417,0.47148,0.00358901,0.00469162,,,362
36.2,5.2142,0.421,0.00360141,0.00470686,,,363
36.3,5.2142,0.40701,0.00361291,0.0047216,,,364
36.4,5.2142,0.39663,0.00362407,0.00473596,,,365
36.5,5.21417,0.40697,0.00363523,0.0047507,,,366
36.6,5.2142,0.42,0.00364672,0.00476591,,,367
36.7,5.2142,0.40711,0.0036582,0.00478065,,,368
36.8,5.20285,0.46924,0.00367037,0.00479764,,,369
36.9,5.19534,0.51002,0.00368398,0.00481611,,,370
37,5.21405,0.421,0.00369691,0.00483135,,,371
37.1,5.21401,0.40946,0.00370844,0.00484618,,,372
37.2,5.21405,0.3934,0.00371959,0.00486042,,,373
37.3,5.21413,0.39464,0.00373054,0.00487471,,,374
37.4,5.21413,0.40943,0.0037417,0.00488954,,,375
37.5,5.21417,0.40938,0.00375308,0.00490436,,,376
37.6,5.21417,0.35087,0.00376364,0.00491707,,,377
37.7,5.21452,0.31904,0.00377294,0.00492865,,,378
37.8,5.21526,0.33073,0.00378196,0.00494063,,,379
37.9,5.22664,0.33745,0.00379124,0.00495285,,,380
38,5.21714,0.33769,0.00380062,0.00496509,,,381
38.1,5.21816,0.33073,0.00380991,0.00497707,,,382
38.2,5.21902,0.3183,0.00381892,0.00498861,,,383
38.3,5.21972,0.31332,0.00382769,0.00499997,,,384
38.4,5.22066,0.33396,0.00383668,0.00501208,,,385
38.5,5.2216,0.34363,0.00384609,0.00502454,,,386
38.6,5.22258,0.33581,0.00385553,0.00503672,,,387
38.7,5.22313,0.33002,0.00386478,0.0050487,,,388
38.8,5.2234,0.32751,0.00387391,0.00506058,,,389
38.9,5.22336,0.31506,0.00388283,0.005072,,,390
39,5.22348,0.32711,0.00389175,0.00508387,,,391
39.1,5.22336,0.32711,0.00390084,0.00509573,,,392
39.2,5.22336,0.34043,0.00391011,0.00510808,,,393
39.3,5.22344,0.32716,0.00391938,0.00511995,,,394
39.4,5.22344,0.32714,0.00392847,0.00513182,,,395
39.5,5.2234,0.32715,0.00393756,0.00514368,,,396
39.6,5.22336,0.31606,0.00394649,0.00515515,,,397
39.7,5.22344,0.32718,0.00395543,0.00516702,,,398
39.8,5.22344,0.32717,0.00396451,0.00517888,,,399
39.9,5.22352,0.33869,0.00397376,0.00519114,,,400
40,5.22356,0.33869,0.00398317,0.00520343,,,401
40.1,5.22367,0.32709,0.00399242,0.00521529,,,402
40.2,5.22371,0.32758,0.00400151,0.00522718,,,403
40.3,5.22367,0.32779,0.00401061,0.00523907,,,404
40.4,5.22371,0.43716,0.00402124,0.00525493,,,405
40.5,5.22344,0.33049,0.0040319,0.00526691,,,406
40.6,5.22352,0.33097,0.00404108,0.00527892,,,407
40.7,5.22352,0.33093,0.00405028,0.00529092,,,408
40.8,5.22352,0.33088,0.00405947,0.00530293,,,409
40.9,5.22348,0.33095,0.00406866,0.00531493,,,410
41,5.22336,0.31656,0.00407765,0.00532641,,,411
41.1,5.22324,0.33104,0.00408665,0.00533842,,,412
41.2,5.22317,0.331,0.00409584,0.00535043,,,413
41.3,5.22317,0.33037,0.00410503,0.00536241,,,414
41.4,5.22313,0.33043,0.00411421,0.0053744,,,415
41.5,5.22332,0.33894,0.0041235,0.00538669,,,416
41.6,5.2234,0.31357,0.00413257,0.00539806,,,417
